,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,bengkulu,-3.8,102.27,302.38,64,100,5.03,ID,1595917723
133,chuy,-33.7,-53.46,280.05,77,100,4.16,UY,1595917723
134,shimoda,34.67,138.95,300.15,94,75,8.2,JP,1595917724
135,hay river,60.82,-115.8,288.15,87,75,2.1,CA,1595917724
136,kavieng,-2.57,150.8,302.11,72,72,3.03,PG,1595917724
137,victoria,22.29,114.16,308.15,50,20,5.7,HK,1595917518
138,moranbah,-22.0,148.05,293.8,24,0,6.07,AU,1595917725
139,opuwo,-18.06,13.84,284.57,44,0,3.75,NA,1595917725
140,fukue,32.69,128.84,300.15,88,75,4.6,JP,1595917725
141,parintins,-2.63,-56.74,296.56,67,2,0.53,BR,1595917726
142,lianzhou,24.78,112.38,307.67,54,89,1.39,CN,1595917726
143,souillac,-20.52,57.52,297.15,73,75,4.1,MU,1595917726
144,pitimbu,-7.47,-34.81,296.69,79,29,6.3,BR,1595917727
145,talnakh,69.49,88.4,289.15,41,13,4.0,RU,1595917727
146,provideniya,64.38,-173.3,285.15,81,40,2.0,RU,1595917727
147,mahebourg,-20.41,57.7,297.15,73,75,4.1,MU,1595917727
148,kaitangata,-46.28,169.85,280.37,76,100,1.34,NZ,1595917728
149,mecca,21.43,39.83,304.29,59,51,5.05,SA,1595917697
150,ponta do sol,32.67,-17.1,294.15,73,20,9.3,PT,1595917728
151,longyearbyen,78.22,15.64,292.15,45,100,7.7,SJ,1595917729
152,lasa,46.62,10.7,286.15,100,1,0.77,IT,1595917729
153,viedma,-40.81,-63.0,277.47,73,44,4.28,AR,1595917729
154,fairbanks,64.84,-147.72,288.15,87,90,1.5,US,1595917621
155,castro,-24.79,-50.01,287.17,80,39,1.78,BR,1595917730
156,manacor,39.57,3.21,299.15,65,0,3.6,ES,1595917730
157,pevek,69.7,170.31,274.79,87,0,5.64,RU,1595917626
158,jodoigne,50.72,4.87,291.48,82,75,5.7,BE,1595917731
159,tasiilaq,65.61,-37.64,276.15,93,57,0.5,GL,1595917731
160,sohag,26.56,31.69,303.15,40,0,3.1,EG,1595917731
161,aksum,14.12,38.72,287.88,91,100,0.53,ET,1595917732
